id,client_id,departure_id,arrival_id,dep_time,estimate_arr_time,price
1,2219,92,16,2018-08-04 00:11:00,2018-08-04 00:57:00,8.28
2,2701,139,62,2018-08-04 00:18:00,2018-08-04 00:23:00,2.0
3,1947,2,36,2018-08-04 00:47:00,2018-08-04 01:33:00,4.74
4,1389,125,35,2018-08-04 00:52:00,2018-08-04 01:36:00,21.95
5,681,68,165,2018-08-04 00:01:00,2018-08-04 00:03:00,2.0
6,2927,111,144,2018-08-04 00:13:00,2018-08-04 00:16:00,2.0
7,2079,129,98,2018-08-04 00:00:00,2018-08-04 00:15:00,3.3
8,1125,28,124,2018-08-04 01:40:00,2018-08-04 02:33:00,29.82
9,526,63,131,2018-08-04 01:17:00,2018-08-04 02:10:00,23.07
10,2968,2,99,2018-08-04 01:38:00,2018-08-04 02:07:00,6.69
11,99,161,129,2018-08-04 01:38:00,2018-08-04 01:52:00,5.24
12,1685,19,8,2018-08-04 01:40:00,2018-08-04 01:44:00,2.0
13,2477,111,131,2018-08-04 01:30:00,2018-08-04 01:51:00,10.24
14,558,25,140,2018-08-04 01:18:00,2018-08-04 01:21:00,2.0
15,308,113,23,2018-08-04 01:30:00,2018-08-04 01:44:00,8.73
16,2646,119,172,2018-08-04 02:43:00,2018-08-04 02:51:00,4.04
17,1827,169,125,2018-08-04 02:43:00,2018-08-04 02:54:00,2.83
18,1865,119,84,2018-08-04 02:01:00,2018-08-04 02:08:00,3.56
19,2148,76,74,2018-08-04 02:16:00,2018-08-04 02:50:00,4.08
20,1884,36,119,2018-08-04 02:49:00,2018-08-04 03:21:00,17.12
21,18,47,16,2018-08-04 02:35:00,2018-08-04 03:32:00,30.16
22,2018,112,135,2018-08-04 02:45:00,2018-08-04 03:44:00,35.49
23,282,140,159,2018-08-04 02:31:00,2018-08-04 02:57:00,2.75
24,734,40,165,2018-08-04 03:02:00,2018-08-04 03:53:00,8.47
25,230,13,126,2018-08-04 03:10:00,2018-08-04 03:15:00,2.37
26,2833,155,127,2018-08-04 03:13:00,2018-08-04 03:36:00,4.52
27,91,12,49,2018-08-04 03:11:00,2018-08-04 03:42:00,16.69
28,78,56,120,2018-08-04 04:57:00,2018-08-04 05:40:00,21.7
29,2738,131,88,2018-08-04 04:00:00,2018-08-04 04:33:00,15.96
30,2832,107,96,2018-08-04 04:59:00,2018-08-04 05:29:00,4.87
