,DATE,PRECIP_TOTAL_DAY_MM,VISIBILITY_AVG_KM
0,2018-01-01,0.0,10.0
1,2018-01-02,0.3,8.0
2,2018-01-03,0.0,9.0
3,2018-01-04,0.6,7.0
4,2018-01-05,0.0,8.0
5,2018-01-06,0.0,10.0
6,2018-01-07,0.3,9.125
7,2018-01-08,0.9,0.25
8,2018-01-09,1.6,5.125
9,2018-01-10,6.2,7.0
10,2018-01-11,1.0,6.625
11,2018-01-12,8.4,6.5
12,2018-01-13,3.5,9.75
13,2018-01-14,1.2,9.75
14,2018-01-15,5.0,7.75
15,2018-01-16,0.0,7.0
16,2018-01-17,0.0,8.625
17,2018-01-18,0.0,10.0
18,2018-01-19,0.0,10.0
19,2018-01-20,0.0,9.0
20,2018-01-21,0.0,8.0
21,2018-01-22,0.0,10.0
22,2018-01-23,0.0,10.0
23,2018-01-24,0.5,9.75
24,2018-01-25,0.0,7.0
25,2018-01-26,0.0,10.0
26,2018-01-27,1.0,8.75
27,2018-01-28,2.6,7.5
28,2018-01-29,0.6,9.625
29,2018-01-30,11.4,4.125
30,2018-01-31,4.3,5.5
31,2018-02-01,1.0,7.375
32,2018-02-02,1.2,8.25
33,2018-02-03,2.3,7.375
34,2018-02-04,9.4,9.0
35,2018-02-05,6.1,8.375
36,2018-02-06,0.4,10.0
37,2018-02-07,8.3,8.0
38,2018-02-08,0.2,8.0
39,2018-02-09,0.3,9.0
40,2018-02-10,0.3,10.0
41,2018-02-11,0.2,9.0
42,2018-02-12,1.5,7.75
43,2018-02-13,0.0,10.0
44,2018-02-14,0.7,8.375
45,2018-02-15,1.3,9.75
46,2018-02-16,2.8,8.75
47,2018-02-17,0.0,10.0
48,2018-02-18,0.0,9.0
49,2018-02-19,0.0,9.375
50,2018-02-20,0.6,8.625
51,2018-02-21,0.6,10.0
52,2018-02-22,0.1,10.0
53,2018-02-23,1.7,9.0
54,2018-02-24,0.7,9.875
55,2018-02-25,0.0,10.0
56,2018-02-26,0.3,10.0
57,2018-02-27,7.0,6.375
58,2018-02-28,2.0,9.75
59,2018-03-01,7.3,9.375
60,2018-03-02,0.3,10.0
61,2018-03-03,1.6,10.0
62,2018-03-04,19.5,7.25
63,2018-03-05,10.7,9.125
64,2018-03-06,11.4,8.125
65,2018-03-07,1.2,10.0
66,2018-03-08,3.4,6.25
67,2018-03-09,2.2,5.5
68,2018-03-10,0.0,7.5
69,2018-03-11,0.0,10.0
70,2018-03-12,0.0,10.0
71,2018-03-13,0.0,10.0
72,2018-03-14,0.0,8.375
73,2018-03-15,0.3,9.625
74,2018-03-16,0.0,10.0
75,2018-03-17,0.3,10.0
76,2018-03-18,7.1,8.25
77,2018-03-19,1.0,8.0
78,2018-03-20,0.3,10.0
79,2018-03-21,1.6,7.0
80,2018-03-22,0.7,9.625
81,2018-03-23,14.3,8.0
82,2018-03-24,5.2,8.5
83,2018-03-25,0.0,10.0
84,2018-03-26,0.0,10.0
85,2018-03-27,0.0,10.0
86,2018-03-28,1.0,9.625
87,2018-03-29,0.0,8.875
88,2018-03-30,0.0,18.375
89,2018-03-31,2.4,17.375
90,2018-04-01,6.3,7.625
91,2018-04-02,0.5,10.0
92,2018-04-03,0.0,10.0
93,2018-04-04,0.5,9.75
94,2018-04-05,0.1,10.0
95,2018-04-06,0.1,10.0
96,2018-04-07,0.0,10.0
97,2018-04-08,0.0,9.0
98,2018-04-09,0.0,10.0
99,2018-04-10,0.2,10.0
