DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2017-01-01,3,-1,14,-2,2,0,0,67,10,1028,24,3,0,-5,113,113,116,météo très défavorable
2017-01-02,4,2,10,1,3,2,0.3,97,8,1029,64.5,4,2,0,122,143,113,météo très défavorable
2017-01-03,5,1,9,0,4,2,0,94,9,1031,12.125,5,2,-1,143,113,113,météo très défavorable
2017-01-04,6,3,18,2,5,4,0.6,96,7,1028,89.875,6,5,-1,122,266,143,météo très défavorable
2017-01-05,6,1,13,1,4,3,0,95,8,1036,24.125,6,3,-2,116,143,113,météo très défavorable
2017-01-06,3,0,7,-2,2,2,0,77,10,1039,15.75,3,0,-2,116,113,113,météo très défavorable
2017-01-07,1,-2,13,-3,1,1,0.3,55,9.125,1038,76.25,2,1,-6,113,122,122,météo très défavorable
2017-01-08,6,4,4,3,6,6,0.9,99,0.25,1033,100,6,6,4,248,266,248,météo très défavorable
2017-01-09,7,5,17,4,6,6,1.6,96,5.125,1032,96.5,7,6,1,248,266,176,météo très défavorable
2017-01-10,9,6,18,4,8,7,6.2,95,7,1016,88.375,9,6,3,176,266,176,météo défavorable
2017-01-11,10,7,21,5,9,8,1,96,6.625,1019,87.375,10,8,3,122,266,176,météo défavorable
2017-01-12,8,7,24,6,8,8,8.4,91,6.5,1020,93.625,8,6,4,119,266,296,météo très défavorable
2017-01-13,5,3,32,2,4,4,3.5,84,9.75,1014,53.25,5,1,-2,323,119,317,météo très défavorable
2017-01-14,5,1,20,1,4,3,1.2,83,9.75,1022,28.125,5,1,-3,116,116,182,météo très défavorable
2017-01-15,4,1,11,0,3,3,5,89,7.75,1024,70.5,4,2,-1,113,122,320,météo très défavorable
2017-01-16,3,0,7,-2,2,2,0,94,7,1030,81.125,3,1,-3,326,122,122,météo très défavorable
2017-01-17,2,0,17,-2,1,1,0,72,8.625,1037,13.5,2,0,-5,113,113,113,météo très défavorable
2017-01-18,1,-4,23,-4,-1,-1,0,74,10,1037,5.5,1,0,-10,113,113,113,météo très défavorable
